"","Emergency_Shelter","Transitional_Housing","Unsheltered","Total","CoC_Code","CoC_Name","Year","Type"
"1",1480,275,5904,7659,"CA-500","San Jose/Santa Clara City & County CoC","2023","Total Homeless Households"
"2",913,7,2913,3833,"CA-500","San Jose/Santa Clara City & County CoC","2023","Total Chronically Homeless Persons"
"3",404,95,2572,3071,"CA-500","San Jose/Santa Clara City & County CoC","2023","Severely Mentally Ill"
"4",161,97,1767,2025,"CA-500","San Jose/Santa Clara City & County CoC","2023","Chronic Substance Abuse"
"5",71,57,351,479,"CA-500","San Jose/Santa Clara City & County CoC","2023","Veterans"
"6",140,16,444,600,"CA-500","San Jose/Santa Clara City & County CoC","2023","Victims of Domestic Violence"
"7",2460,194,3554,6208,"CA-501","San Francisco CoC","2023","Total Homeless Households"
"8",1429,0,1091,2520,"CA-501","San Francisco CoC","2023","Total Chronically Homeless Persons"
"9",1139,51,909,2099,"CA-501","San Francisco CoC","2023","Severely Mentally Ill"
"10",995,29,993,2017,"CA-501","San Francisco CoC","2023","Chronic Substance Abuse"
"11",108,36,404,548,"CA-501","San Francisco CoC","2023","Veterans"
"12",349,30,243,622,"CA-501","San Francisco CoC","2023","Victims of Domestic Violence"
"13",1584,697,6091,8372,"CA-502","Oakland, Berkeley/Alameda County CoC","2023","Total Homeless Households"
"14",1057,11,1737,2805,"CA-502","Oakland, Berkeley/Alameda County CoC","2023","Total Chronically Homeless Persons"
"15",543,183,1667,2393,"CA-502","Oakland, Berkeley/Alameda County CoC","2023","Severely Mentally Ill"
"16",420,98,899,1417,"CA-502","Oakland, Berkeley/Alameda County CoC","2023","Chronic Substance Abuse"
"17",40,82,430,552,"CA-502","Oakland, Berkeley/Alameda County CoC","2023","Veterans"
"18",183,53,398,634,"CA-502","Oakland, Berkeley/Alameda County CoC","2023","Victims of Domestic Violence"
"19",1631,432,5586,7649,"CA-503","Sacramento City & County CoC","2023","Total Homeless Households"
"20",967,0,3374,4341,"CA-503","Sacramento City & County CoC","2023","Total Chronically Homeless Persons"
"21",443,116,2225,2784,"CA-503","Sacramento City & County CoC","2023","Severely Mentally Ill"
"22",247,82,988,1317,"CA-503","Sacramento City & County CoC","2023","Chronic Substance Abuse"
"23",77,132,415,624,"CA-503","Sacramento City & County CoC","2023","Veterans"
"24",139,24,979,1142,"CA-503","Sacramento City & County CoC","2023","Victims of Domestic Violence"
"25",583,247,1095,1925,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","2023","Total Homeless Households"
"26",231,0,319,550,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","2023","Total Chronically Homeless Persons"
"27",96,59,268,423,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","2023","Severely Mentally Ill"
"28",62,45,258,365,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","2023","Chronic Substance Abuse"
"29",25,11,74,110,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","2023","Veterans"
"30",25,0,87,112,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","2023","Victims of Domestic Violence"
"31",439,133,1339,1911,"CA-505","Richmond/Contra Costa County CoC","2023","Total Homeless Households"
"32",337,0,1253,1590,"CA-505","Richmond/Contra Costa County CoC","2023","Total Chronically Homeless Persons"
"33",219,51,853,1123,"CA-505","Richmond/Contra Costa County CoC","2023","Severely Mentally Ill"
"34",137,62,976,1175,"CA-505","Richmond/Contra Costa County CoC","2023","Chronic Substance Abuse"
"35",19,18,73,110,"CA-505","Richmond/Contra Costa County CoC","2023","Veterans"
"36",36,23,645,704,"CA-505","Richmond/Contra Costa County CoC","2023","Victims of Domestic Violence"
"37",222,115,1393,1730,"CA-506","Salinas/Monterey, San Benito Counties CoC","2023","Total Homeless Households"
"38",131,0,484,615,"CA-506","Salinas/Monterey, San Benito Counties CoC","2023","Total Chronically Homeless Persons"
"39",96,46,571,713,"CA-506","Salinas/Monterey, San Benito Counties CoC","2023","Severely Mentally Ill"
"40",2,4,415,421,"CA-506","Salinas/Monterey, San Benito Counties CoC","2023","Chronic Substance Abuse"
"41",13,48,82,143,"CA-506","Salinas/Monterey, San Benito Counties CoC","2023","Veterans"
"42",60,18,112,190,"CA-506","Salinas/Monterey, San Benito Counties CoC","2023","Victims of Domestic Violence"
"43",125,64,612,801,"CA-507","Marin County CoC","2023","Total Homeless Households"
"44",95,0,207,302,"CA-507","Marin County CoC","2023","Total Chronically Homeless Persons"
"45",58,17,259,334,"CA-507","Marin County CoC","2023","Severely Mentally Ill"
"46",44,10,215,269,"CA-507","Marin County CoC","2023","Chronic Substance Abuse"
"47",3,12,51,66,"CA-507","Marin County CoC","2023","Veterans"
"48",7,30,28,65,"CA-507","Marin County CoC","2023","Victims of Domestic Violence"
"49",237,16,1120,1373,"CA-508","Watsonville/Santa Cruz City & County CoC","2023","Total Homeless Households"
"50",153,0,420,573,"CA-508","Watsonville/Santa Cruz City & County CoC","2023","Total Chronically Homeless Persons"
