"","state","overall_homeless","overall_chronically_homeless","sheltered_total_chronically_homeless","year"
"1","AK","2614","778","649","2023"
"2","AL","3304","731","199","2023"
"3","AR","2609","888","245","2023"
"4","AZ","14237","3183","1581","2023"
"5","CA","181399","71150","16521","2023"
"6","CO","14439","4457","1948","2023"
"7","CT","3015","119","43","2023"
"8","DE","1245","176","96","2023"
"9","FL","30756","5979","2057","2023"
"10","GA","12294","1728","579","2023"
"11","HI","6223","1641","332","2023"
"12","IA","2653","518","318","2023"
"13","ID","2298","407","178","2023"
"14","IL","11947","1443","1089","2023"
"15","IN","6017","715","515","2023"
"16","KS","2636","479","174","2023"
"17","KY","4766","971","585","2023"
"18","LA","3169","442","193","2023"
"19","MA","19141","2631","2063","2023"
"20","MD","5865","1032","752","2023"
"21","ME","4258","370","284","2023"
"22","MI","8997","1161","818","2023"
"23","MN","8393","2041","1205","2023"
"24","MO","6708","1592","813","2023"
"25","MS","982","130","36","2023"
"26","MT","2178","558","380","2023"
"27","NC","9754","1678","824","2023"
"28","ND","784","174","130","2023"
"29","NE","2462","609","475","2023"
"30","NH","2441","545","427","2023"
"31","NJ","10264","1964","1194","2023"
"32","NM","3842","1694","589","2023"
"33","NV","8666","2433","984","2023"
"34","NY","103200","6132","4938","2023"
"35","OH","11386","1232","807","2023"
"36","OK","4648","1403","521","2023"
"37","OR","20142","6748","2107","2023"
"38","PA","12556","2063","1507","2023"
"39","RI","1810","629","400","2023"
"40","SC","4053","853","476","2023"
"41","SD","1282","226","150","2023"
"42","TN","9215","1988","688","2023"
"43","TX","27377","4886","1656","2023"
"44","UT","3687","1004","643","2023"
"45","VA","6761","1104","828","2023"
"46","VT","3295","249","213","2023"
"47","WA","28036","8737","3198","2023"
"48","WI","4861","580","539","2023"
"49","WV","1416","255","138","2023"
"50","WY","532","72","36","2023"
"51","Total","653104","154313","57987","2023"
"52","AK","2320","599","499","2022"
"53","AL","3752","564","256","2022"
"54","AR","2459","450","168","2022"
"55","AZ","13553","2685","904","2022"
"56","CA","171521","60905","15773","2022"
"57","CO","10397","3703","1575","2022"
"58","CT","2930","117","66","2022"
"59","DE","2369","223","172","2022"
"60","FL","25959","4509","1842","2022"
